Minerals,Formula,Rho,K,G
Quartz,SiO2,2650,37,44
Calcite,CaCO3,2710,76.8,32
Dolomite,CaMg(CO3)2,2840,0,0
Illite_K_Rich,KAl2Si4O10(OH)2,2706,60.1,25.3
Illite_NaAl_Rich,NaAl2Si4O10(OH)2,2706,60.1,25.3
Illite_NaFe_Rich,NaFe2Si4O10(OH)2,2706,60.1,25.3
Pyrite,FeS2,5010,139,112.3
Anatase,TiO2,3900,0,0
Apatite_F_Rich,Ca5(PO4)3F,3190,81,44.5
Apatite_Cl_Rich,Ca5(PO4)3Cl,3190,67.6,39.8
Apatite_Br_Rich,Ca5(PO4)3Br,3190,66.5,38.5
Kaolinite,Al4Si4O10(OH)8,2600,0,0
Muscovite,KAl3Si3O10(OH)2,2820,0,0
Magnesite,MgCO3,3000,0,0
Siderite,FeCO3,3960,0,0
Chlorite_Fe_Rich,Fe12Si8O20(OH)16,2950,0,0
Chlorite_Mg_Rich,Mg12Si8O20(OH)16,2950,0,0
Ankerite,CaFe0.2Mg0.8(CO3)2,3050,0,0
Albite,NaAlSi3O8,2630,0,0
Plagioclase,CaAl2Si2O8,2680,0,0
Hematite,Fe2O3,5300,0,0
Anhydrite,CaSO4,2970,54.9,29.4
